text|source|row|category|url|chunk_id
"content: The IRS sponsors volunteer assistance programs offering help to taxpayers in many community locations.

VITA

The Volunteer Income Tax Assistance Program (VITA) offers free tax help by trained volunteers for low to moderate-income taxpayers. VITA sites provide free basic income tax return preparation for individuals and are available locally in most community locations. To see if you qualify for this service, see Free Tax Return Preparation for Qualifying Taxpayers.

Trained volunteers can help you determine your eligibility for special credits such as the earned income tax credit, child tax credit, and credit for the elderly or the disabled.

VITA sites offer free electronic filing (e-file). Individuals who use the e-file program benefit from a shorter processing time and usually receive their refunds more quickly. Taxpayers who use e-file and direct deposit can usually expect to get their refund within 21 days. Note: You should only choose direct deposit of your refund into accounts that are in your own name, your spouse's name, or both if it's a joint account.

To find the locations, dates and hours of availability for the volunteer sites near you, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887.

TCE"|"The IRS sponsors volunteer assistance programs offering help to taxpayers in many community locations.

VITA

The Volunteer Income Tax Assistance Program (VITA) offers free tax help by trained volunteers for low to moderate-income taxpayers. VITA sites provide free basic income tax return preparation for individuals and are available locally in most community locations. To see if you qualify for this service, see Free Tax Return Preparation for Qualifying Taxpayers.

Trained volunteers can help you determine your eligibility for special credits such as the earned income tax credit, child tax credit, and credit for the elderly or the disabled.

VITA sites offer free electronic filing (e-file). Individuals who use the e-file program benefit from a shorter processing time and usually receive their refunds more quickly. Taxpayers who use e-file and direct deposit can usually expect to get their refund within 21 days. Note: You should only choose direct deposit of your refund into accounts that are in your own name, your spouse's name, or both if it's a joint account.

To find the locations, dates and hours of availability for the volunteer sites near you, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887.

TCE

Tax Counseling for the Elderly (TCE) is another grant program designed to offer free tax assistance to individuals aged 60 years or older with low to moderate incomes. TCE sites are located at convenient community locations. TCE counselors offer free basic income tax return preparation services. The AARP participates in the TCE program. To locate the nearest VITA/TCE site, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887. Visit AARP or call 888-AARPNOW (888-227-7669) to find the nearest AARP site.

Self-assistance

At select VITA and TCE tax sites, you also have an option to prepare your own basic federal and state tax returns for free using web-based tax return preparation software with an IRS-certified volunteer to help guide you through the process. For more information, see Free Tax Return Preparation for Qualifying Taxpayers.

What to bring to your local VITA or TCE site

Before going to your local VITA or TCE site, see Publication 3676-BPDF for services provided and check out the What to bring to your local VITA or TCE site page.

Low Income Taxpayer Clinics

Low Income Taxpayer Clinics (LITCs) are independent from the IRS and the Taxpayer Advocate Service. LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS. LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court. In addition, LITCs can provide information about taxpayer rights and responsibilities in different languages for individuals who speak English as a second language. Services are offered for free or a small fee.



When the preparation of a return or returns is necessary to resolve a dispute with the IRS, an LITC can prepare the return. A taxpayer's decision to obtain representation from an LITC won't result in the IRS giving preferential treatment in handling the taxpayer's dispute.

For more information or to find an LITC near you, see Low Income Taxpayer Clinics (LITC) or IRS Publication 4134, Low Income Taxpayer Clinic ListPDF.

Identity theft

See Identity Theft Central for additional information."|0|help available|https://www.irs.gov/taxtopics/tc101|981774f418424c1fbb9b654e1f232c91
"TCE

Tax Counseling for the Elderly (TCE) is another grant program designed to offer free tax assistance to individuals aged 60 years or older with low to moderate incomes. TCE sites are located at convenient community locations. TCE counselors offer free basic income tax return preparation services. The AARP participates in the TCE program. To locate the nearest VITA/TCE site, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887. Visit AARP or call 888-AARPNOW (888-227-7669) to find the nearest AARP site.

Self-assistance

At select VITA and TCE tax sites, you also have an option to prepare your own basic federal and state tax returns for free using web-based tax return preparation software with an IRS-certified volunteer to help guide you through the process. For more information, see Free Tax Return Preparation for Qualifying Taxpayers.

What to bring to your local VITA or TCE site

Before going to your local VITA or TCE site, see Publication 3676-BPDF for services provided and check out the What to bring to your local VITA or TCE site page.

Low Income Taxpayer Clinics"|"The IRS sponsors volunteer assistance programs offering help to taxpayers in many community locations.

VITA

The Volunteer Income Tax Assistance Program (VITA) offers free tax help by trained volunteers for low to moderate-income taxpayers. VITA sites provide free basic income tax return preparation for individuals and are available locally in most community locations. To see if you qualify for this service, see Free Tax Return Preparation for Qualifying Taxpayers.

Trained volunteers can help you determine your eligibility for special credits such as the earned income tax credit, child tax credit, and credit for the elderly or the disabled.

VITA sites offer free electronic filing (e-file). Individuals who use the e-file program benefit from a shorter processing time and usually receive their refunds more quickly. Taxpayers who use e-file and direct deposit can usually expect to get their refund within 21 days. Note: You should only choose direct deposit of your refund into accounts that are in your own name, your spouse's name, or both if it's a joint account.

To find the locations, dates and hours of availability for the volunteer sites near you, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887.

TCE

Tax Counseling for the Elderly (TCE) is another grant program designed to offer free tax assistance to individuals aged 60 years or older with low to moderate incomes. TCE sites are located at convenient community locations. TCE counselors offer free basic income tax return preparation services. The AARP participates in the TCE program. To locate the nearest VITA/TCE site, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887. Visit AARP or call 888-AARPNOW (888-227-7669) to find the nearest AARP site.

Self-assistance

At select VITA and TCE tax sites, you also have an option to prepare your own basic federal and state tax returns for free using web-based tax return preparation software with an IRS-certified volunteer to help guide you through the process. For more information, see Free Tax Return Preparation for Qualifying Taxpayers.

What to bring to your local VITA or TCE site

Before going to your local VITA or TCE site, see Publication 3676-BPDF for services provided and check out the What to bring to your local VITA or TCE site page.

Low Income Taxpayer Clinics

Low Income Taxpayer Clinics (LITCs) are independent from the IRS and the Taxpayer Advocate Service. LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS. LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court. In addition, LITCs can provide information about taxpayer rights and responsibilities in different languages for individuals who speak English as a second language. Services are offered for free or a small fee.



When the preparation of a return or returns is necessary to resolve a dispute with the IRS, an LITC can prepare the return. A taxpayer's decision to obtain representation from an LITC won't result in the IRS giving preferential treatment in handling the taxpayer's dispute.

For more information or to find an LITC near you, see Low Income Taxpayer Clinics (LITC) or IRS Publication 4134, Low Income Taxpayer Clinic ListPDF.

Identity theft

See Identity Theft Central for additional information."|0|help available|https://www.irs.gov/taxtopics/tc101|e50c481bc638430ba2b64d8d5b9b086d
"Low Income Taxpayer Clinics

Low Income Taxpayer Clinics (LITCs) are independent from the IRS and the Taxpayer Advocate Service. LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS. LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court. In addition, LITCs can provide information about taxpayer rights and responsibilities in different languages for individuals who speak English as a second language. Services are offered for free or a small fee.



When the preparation of a return or returns is necessary to resolve a dispute with the IRS, an LITC can prepare the return. A taxpayer's decision to obtain representation from an LITC won't result in the IRS giving preferential treatment in handling the taxpayer's dispute.

For more information or to find an LITC near you, see Low Income Taxpayer Clinics (LITC) or IRS Publication 4134, Low Income Taxpayer Clinic ListPDF.

Identity theft

See Identity Theft Central for additional information."|"The IRS sponsors volunteer assistance programs offering help to taxpayers in many community locations.

VITA

The Volunteer Income Tax Assistance Program (VITA) offers free tax help by trained volunteers for low to moderate-income taxpayers. VITA sites provide free basic income tax return preparation for individuals and are available locally in most community locations. To see if you qualify for this service, see Free Tax Return Preparation for Qualifying Taxpayers.

Trained volunteers can help you determine your eligibility for special credits such as the earned income tax credit, child tax credit, and credit for the elderly or the disabled.

VITA sites offer free electronic filing (e-file). Individuals who use the e-file program benefit from a shorter processing time and usually receive their refunds more quickly. Taxpayers who use e-file and direct deposit can usually expect to get their refund within 21 days. Note: You should only choose direct deposit of your refund into accounts that are in your own name, your spouse's name, or both if it's a joint account.

To find the locations, dates and hours of availability for the volunteer sites near you, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887.

TCE

Tax Counseling for the Elderly (TCE) is another grant program designed to offer free tax assistance to individuals aged 60 years or older with low to moderate incomes. TCE sites are located at convenient community locations. TCE counselors offer free basic income tax return preparation services. The AARP participates in the TCE program. To locate the nearest VITA/TCE site, use the VITA locator tool, see Publication 5136PDF, download the free IRS2Go app, or call 800-906-9887. Visit AARP or call 888-AARPNOW (888-227-7669) to find the nearest AARP site.

Self-assistance

At select VITA and TCE tax sites, you also have an option to prepare your own basic federal and state tax returns for free using web-based tax return preparation software with an IRS-certified volunteer to help guide you through the process. For more information, see Free Tax Return Preparation for Qualifying Taxpayers.

What to bring to your local VITA or TCE site

Before going to your local VITA or TCE site, see Publication 3676-BPDF for services provided and check out the What to bring to your local VITA or TCE site page.

Low Income Taxpayer Clinics

Low Income Taxpayer Clinics (LITCs) are independent from the IRS and the Taxpayer Advocate Service. LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS. LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court. In addition, LITCs can provide information about taxpayer rights and responsibilities in different languages for individuals who speak English as a second language. Services are offered for free or a small fee.



When the preparation of a return or returns is necessary to resolve a dispute with the IRS, an LITC can prepare the return. A taxpayer's decision to obtain representation from an LITC won't result in the IRS giving preferential treatment in handling the taxpayer's dispute.

For more information or to find an LITC near you, see Low Income Taxpayer Clinics (LITC) or IRS Publication 4134, Low Income Taxpayer Clinic ListPDF.

Identity theft

See Identity Theft Central for additional information."|0|help available|https://www.irs.gov/taxtopics/tc101|d4d0c0763a1b4779a780670ee377a8ea
"content: Special assistance is available for persons with disabilities. If you're not able to complete your return because of a disability, you can get help through the Volunteer Income Tax Assistance Program (VITA) program sponsored by the IRS. For more information on available IRS services, refer to Topic no. 101, Publication 5136, IRS Services GuidePDF or Disability information for individuals, businesses, and partners providing services.

Telephone assistance for the deaf and hard of hearing is available for individuals with TTY/TDD equipment. TTY/TDD users may call 800-829-4059 (see telephone assistance for hours of operation) to ask tax questions or to order IRS forms and publications.

The IRS welcomes calls via your choice of relay. Deaf or hard of hearing taxpayers using a relay service may call any of our toll-free numbers.

Visit the IRS.gov Accessibility page for a current list of accessible tax products available by download. If you prefer printed tax products instead, such as hardcopy Braille or large print, you may call us at 800-TAX-FORM (800-829-3676). For information on electing to receive correspondence in the alternative format of your choice, refer to Form 9000, Alternative Media PreferencePDF and Information About the Alternative Media Center.

We also offer YouTube videos in American Sign Language (ASL)."|"Special assistance is available for persons with disabilities. If you're not able to complete your return because of a disability, you can get help through the Volunteer Income Tax Assistance Program (VITA) program sponsored by the IRS. For more information on available IRS services, refer to Topic no. 101, Publication 5136, IRS Services GuidePDF or Disability information for individuals, businesses, and partners providing services.

Telephone assistance for the deaf and hard of hearing is available for individuals with TTY/TDD equipment. TTY/TDD users may call 800-829-4059 (see telephone assistance for hours of operation) to ask tax questions or to order IRS forms and publications.

The IRS welcomes calls via your choice of relay. Deaf or hard of hearing taxpayers using a relay service may call any of our toll-free numbers.

Visit the IRS.gov Accessibility page for a current list of accessible tax products available by download. If you prefer printed tax products instead, such as hardcopy Braille or large print, you may call us at 800-TAX-FORM (800-829-3676). For information on electing to receive correspondence in the alternative format of your choice, refer to Form 9000, Alternative Media PreferencePDF and Information About the Alternative Media Center.

We also offer YouTube videos in American Sign Language (ASL).

For additional information on these subjects and other areas that may affect persons with disabilities, refer to Publication 907, Tax Highlights for Persons with Disabilities and Publication 3966, Living and Working with DisabilitiesPDF (in SpanishPDF)."|1|help available|https://www.irs.gov/taxtopics/tc102|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
"We also offer YouTube videos in American Sign Language (ASL).

For additional information on these subjects and other areas that may affect persons with disabilities, refer to Publication 907, Tax Highlights for Persons with Disabilities and Publication 3966, Living and Working with DisabilitiesPDF (in SpanishPDF)."|"Special assistance is available for persons with disabilities. If you're not able to complete your return because of a disability, you can get help through the Volunteer Income Tax Assistance Program (VITA) program sponsored by the IRS. For more information on available IRS services, refer to Topic no. 101, Publication 5136, IRS Services GuidePDF or Disability information for individuals, businesses, and partners providing services.

Telephone assistance for the deaf and hard of hearing is available for individuals with TTY/TDD equipment. TTY/TDD users may call 800-829-4059 (see telephone assistance for hours of operation) to ask tax questions or to order IRS forms and publications.

The IRS welcomes calls via your choice of relay. Deaf or hard of hearing taxpayers using a relay service may call any of our toll-free numbers.

Visit the IRS.gov Accessibility page for a current list of accessible tax products available by download. If you prefer printed tax products instead, such as hardcopy Braille or large print, you may call us at 800-TAX-FORM (800-829-3676). For information on electing to receive correspondence in the alternative format of your choice, refer to Form 9000, Alternative Media PreferencePDF and Information About the Alternative Media Center.

We also offer YouTube videos in American Sign Language (ASL).

For additional information on these subjects and other areas that may affect persons with disabilities, refer to Publication 907, Tax Highlights for Persons with Disabilities and Publication 3966, Living and Working with DisabilitiesPDF (in SpanishPDF)."|1|help available|https://www.irs.gov/taxtopics/tc102|22583ef0a0aa49c0aafe7698b9b07f8f
content: Topic no. 103, Tax help for small businesses and the self-employed|Topic no. 103, Tax help for small businesses and the self-employed|2|help available|https://www.irs.gov/taxtopics/tc103|9febde356bf44164a01289b5e17fcbd1
"content: The Taxpayer Advocate Service (TAS) is your voice at the IRS. As an independent organization within the IRS, TAS strives to ensure that you're treated fairly and that you know, understand, and receive your rights. TAS can help you if your tax problem is causing a financial difficulty, you’ve tried and been unable to resolve your issue with the IRS, or you believe an IRS system, process, or procedure just isn't working as it should. And the service is free. We know dealing with the IRS can be confusing, but the worst thing you can do is nothing at all!

TAS can help if you can't resolve your problem with the IRS, and:

Your problem is causing financial difficulties for you, your family, or your business,

You face (or your business is facing) an immediate threat of adverse action,

You (or your business) will suffer irreparable injury or long-term adverse impact, or

You've tried repeatedly to contact the IRS but no one has responded, or the IRS hasn't responded by the date promised.

If you qualify for TAS’s help, you'll be assigned to one advocate who'll be with you at every turn and do everything possible to resolve your problem. Use the TAS Qualifier Tool to see if TAS can possibly assist with a resolution to your tax issue."|"The Taxpayer Advocate Service (TAS) is your voice at the IRS. As an independent organization within the IRS, TAS strives to ensure that you're treated fairly and that you know, understand, and receive your rights. TAS can help you if your tax problem is causing a financial difficulty, you’ve tried and been unable to resolve your issue with the IRS, or you believe an IRS system, process, or procedure just isn't working as it should. And the service is free. We know dealing with the IRS can be confusing, but the worst thing you can do is nothing at all!

TAS can help if you can't resolve your problem with the IRS, and:

Your problem is causing financial difficulties for you, your family, or your business,

You face (or your business is facing) an immediate threat of adverse action,

You (or your business) will suffer irreparable injury or long-term adverse impact, or

You've tried repeatedly to contact the IRS but no one has responded, or the IRS hasn't responded by the date promised.

If you qualify for TAS’s help, you'll be assigned to one advocate who'll be with you at every turn and do everything possible to resolve your problem. Use the TAS Qualifier Tool to see if TAS can possibly assist with a resolution to your tax issue.

In June 2014, the IRS adopted a Taxpayer Bill of Rights that lists rights that already existed in the tax code, putting them in simple language and grouping them into ten fundamental rights that you and every taxpayer have when dealing with the IRS. In December 2015, Congress specified that IRS employees are responsible for being familiar with and acting in accord with taxpayer rights. Refer to IRC § 7803(a)(3). Taxpayer Advocate Service can help you understand what the Taxpayer Bill of Rights mean for you and how these rights apply in your interactions with the IRS.

TAS has at least one office in every state, the District of Columbia, and Puerto Rico. If you need TAS's help and qualify, download Form 911PDF, call your Local Taxpayer Advocate, or call us toll-free at 877-777-4778.

TAS also handles large-scale or systemic problems that affect many taxpayers. If you know of one of these broad issues, please report it to TAS through the Systemic Advocacy Management System. Be sure to not include any personal taxpayer information such as a taxpayer identification number."|3|help available|https://www.irs.gov/taxtopics/tc104|f1655dc6649a43d8ad51431267bc245b
"In June 2014, the IRS adopted a Taxpayer Bill of Rights that lists rights that already existed in the tax code, putting them in simple language and grouping them into ten fundamental rights that you and every taxpayer have when dealing with the IRS. In December 2015, Congress specified that IRS employees are responsible for being familiar with and acting in accord with taxpayer rights. Refer to IRC § 7803(a)(3). Taxpayer Advocate Service can help you understand what the Taxpayer Bill of Rights mean for you and how these rights apply in your interactions with the IRS.

TAS has at least one office in every state, the District of Columbia, and Puerto Rico. If you need TAS's help and qualify, download Form 911PDF, call your Local Taxpayer Advocate, or call us toll-free at 877-777-4778.

TAS also handles large-scale or systemic problems that affect many taxpayers. If you know of one of these broad issues, please report it to TAS through the Systemic Advocacy Management System. Be sure to not include any personal taxpayer information such as a taxpayer identification number."|"The Taxpayer Advocate Service (TAS) is your voice at the IRS. As an independent organization within the IRS, TAS strives to ensure that you're treated fairly and that you know, understand, and receive your rights. TAS can help you if your tax problem is causing a financial difficulty, you’ve tried and been unable to resolve your issue with the IRS, or you believe an IRS system, process, or procedure just isn't working as it should. And the service is free. We know dealing with the IRS can be confusing, but the worst thing you can do is nothing at all!

TAS can help if you can't resolve your problem with the IRS, and:

Your problem is causing financial difficulties for you, your family, or your business,

You face (or your business is facing) an immediate threat of adverse action,

You (or your business) will suffer irreparable injury or long-term adverse impact, or

You've tried repeatedly to contact the IRS but no one has responded, or the IRS hasn't responded by the date promised.

If you qualify for TAS’s help, you'll be assigned to one advocate who'll be with you at every turn and do everything possible to resolve your problem. Use the TAS Qualifier Tool to see if TAS can possibly assist with a resolution to your tax issue.

In June 2014, the IRS adopted a Taxpayer Bill of Rights that lists rights that already existed in the tax code, putting them in simple language and grouping them into ten fundamental rights that you and every taxpayer have when dealing with the IRS. In December 2015, Congress specified that IRS employees are responsible for being familiar with and acting in accord with taxpayer rights. Refer to IRC § 7803(a)(3). Taxpayer Advocate Service can help you understand what the Taxpayer Bill of Rights mean for you and how these rights apply in your interactions with the IRS.

TAS has at least one office in every state, the District of Columbia, and Puerto Rico. If you need TAS's help and qualify, download Form 911PDF, call your Local Taxpayer Advocate, or call us toll-free at 877-777-4778.

TAS also handles large-scale or systemic problems that affect many taxpayers. If you know of one of these broad issues, please report it to TAS through the Systemic Advocacy Management System. Be sure to not include any personal taxpayer information such as a taxpayer identification number."|3|help available|https://www.irs.gov/taxtopics/tc104|6bf7d277308f49729e03a76fd97583cb
"content: The tax code provides some special benefits for active members of the U.S. Armed Forces and certain benefits for individuals serving in combat zones. For more information on the various tax benefits available to members of the U.S. Armed Forces, please refer to Publication 3, Armed Forces' Tax Guide. For federal tax purposes, the U.S. Armed Forces includes commissioned officers, warrant officers, and enlisted personnel in all regular and reserve units controlled by the Secretaries of Defense, Army, Navy, and Air Force. It also includes the Coast Guard. The Public Health Service and the National Oceanic and Atmospheric Administration also can receive many of the same tax benefits.

If you served in a combat zone or a qualified hazardous duty area as a member of the U.S. Armed Forces or as a civilian serving in support of such forces, you may be eligible for extended deadlines for filing tax returns, paying taxes, filing claims for refund, and doing certain other tax-related acts. For details, see Publication 3, Armed Forces' Tax Guide.

For more information, see Tax Information for Members of the Military."|"The tax code provides some special benefits for active members of the U.S. Armed Forces and certain benefits for individuals serving in combat zones. For more information on the various tax benefits available to members of the U.S. Armed Forces, please refer to Publication 3, Armed Forces' Tax Guide. For federal tax purposes, the U.S. Armed Forces includes commissioned officers, warrant officers, and enlisted personnel in all regular and reserve units controlled by the Secretaries of Defense, Army, Navy, and Air Force. It also includes the Coast Guard. The Public Health Service and the National Oceanic and Atmospheric Administration also can receive many of the same tax benefits.

If you served in a combat zone or a qualified hazardous duty area as a member of the U.S. Armed Forces or as a civilian serving in support of such forces, you may be eligible for extended deadlines for filing tax returns, paying taxes, filing claims for refund, and doing certain other tax-related acts. For details, see Publication 3, Armed Forces' Tax Guide.

For more information, see Tax Information for Members of the Military."|4|help available|https://www.irs.gov/taxtopics/tc105|1020b5a3ff45486d925787405f02ab41
"content: When the President declares a federal disaster, the IRS issues a disaster announcement. The announcement lists the state(s) and counties eligible for relief, the disaster dates, and the different types of tax relief granted to affected taxpayers.

Affected taxpayers

Affected taxpayers are those whose residence or place of business is located in the disaster area.

If you don't reside or have a business in the disaster area, you can still get relief if your tax records were located in the covered disaster area.

All disaster relief workers and individuals who were visiting the area during the disaster and were injured or killed due to the disaster are also entitled to relief.

Relief provided

The IRS will identify taxpayers located in disaster areas by ZIP code and applies filing and payment relief.

Affected taxpayers who are located outside the disaster area, must call the IRS toll free at 866-562-5227 to self-identify for disaster relief.

Additional tax relief granted by the IRS is found in the IRS disaster announcements located on the Tax Relief in Disaster Situations page or disaster relief for your state found on the IRS News From Around the Nation page.

Detailed information can be found in Revenue Procedure 2018-58PDF and Treasury Regulation 301.7508A-1.

Disaster related casualty losses

Taxpayers can claim disaster losses on their federal tax return."|"When the President declares a federal disaster, the IRS issues a disaster announcement. The announcement lists the state(s) and counties eligible for relief, the disaster dates, and the different types of tax relief granted to affected taxpayers.

Affected taxpayers

Affected taxpayers are those whose residence or place of business is located in the disaster area.

If you don't reside or have a business in the disaster area, you can still get relief if your tax records were located in the covered disaster area.

All disaster relief workers and individuals who were visiting the area during the disaster and were injured or killed due to the disaster are also entitled to relief.

Relief provided

The IRS will identify taxpayers located in disaster areas by ZIP code and applies filing and payment relief.

Affected taxpayers who are located outside the disaster area, must call the IRS toll free at 866-562-5227 to self-identify for disaster relief.

Additional tax relief granted by the IRS is found in the IRS disaster announcements located on the Tax Relief in Disaster Situations page or disaster relief for your state found on the IRS News From Around the Nation page.

Detailed information can be found in Revenue Procedure 2018-58PDF and Treasury Regulation 301.7508A-1.

Disaster related casualty losses

Taxpayers can claim disaster losses on their federal tax return.

Taxpayers can claim personal property losses not covered by insurance or another type of reimbursement. See Publication 547, Casualties, Disasters and Thefts.

Taxpayers claiming a loss on their return must include the name of the disaster and the Federal Emergency Management Agency (FEMA) declaration number in bold letters at the top of the form (for example, 'Indiana, severe storms, straight-line winds and tornadoes FEMA-4704-DR').

Additional information"|5|help available|https://www.irs.gov/taxtopics/tc107|ab07c1c661504d9699ad0c99ffbfdd2e
