node_1|node_2|edge|chunk_id
vita|volunteer income tax assistance program|The Volunteer Income Tax Assistance Program offers free tax help by trained volunteers for low to moderate-income taxpayers.|981774f418424c1fbb9b654e1f232c91
taxpayers|low to moderate-income taxpayers|The program offers free tax help for low to moderate-income taxpayers.|981774f418424c1fbb9b654e1f232c91
vita sites|free basic income tax return preparation|VITA sites provide free basic income tax return preparation for individuals and are available locally in most community locations.|981774f418424c1fbb9b654e1f232c91
special credits|earned income tax credit, child tax credit, credit for the elderly or disabled|Trained volunteers can help you determine your eligibility for special credits such as the earned income tax credit, child tax credit, and credit for the elderly or disabled.|981774f418424c1fbb9b654e1f232c91
e-file|free electronic filing|VITA sites offer free electronic filing (e-file).|981774f418424c1fbb9b654e1f232c91
refunds|direct deposit and e-file|Taxpayers who use e-file and direct deposit can usually expect to get their refund within 21 days.|981774f418424c1fbb9b654e1f232c91
vita locator tool|publication 5, irs2go app, or call 800-906-9887|To find the locations, dates and hours of availability for the volunteer sites near you, use the VITA locator tool, see Publication 5, download the free IRS2Go app, or call 800-906-9887.|981774f418424c1fbb9b654e1f232c91
tax counseling for the elderly|grant program|TCE is another grant program designed to offer free tax assistance|e50c481bc638430ba2b64d8d5b9b086d
individuals aged 60 years or older|low to moderate incomes|The TCE program targets individuals with low to moderate incomes|e50c481bc638430ba2b64d8d5b9b086d
tce sites|convenient community locations|TCE sites are located at convenient community locations|e50c481bc638430ba2b64d8d5b9b086d
aarp|tce program|The AARP participates in the TCE program|e50c481bc638430ba2b64d8d5b9b086d
vita locator tool|irs2go app|You can use the VITA locator tool, see Publication 5-136 PDF, or download the free IRS2Go app to locate the nearest VITA/TCE site|e50c481bc638430ba2b64d8d5b9b086d
self-assistance|web-based tax return preparation software|At select VITA and TCE tax sites, you also have an option to prepare your own basic federal and state tax returns for free using web-based tax return preparation software|e50c481bc638430ba2b64d8d5b9b086d
low income taxpayer clinics|vita/tce site|For more information, see Free Tax Return Preparation for Qualifying Taxpayers.|e50c481bc638430ba2b64d8d5b9b086d
low income taxpayer clinics|irs|LITCs are independent from the IRS|d4d0c0763a1b4779a780670ee377a8ea
low income taxpayer clinics|taxpayer advocate service|LITCs are independent from the Taxpayer Advocate Service|d4d0c0763a1b4779a780670ee377a8ea
individuals|low income taxpayer clinics|LITCs represent individuals whose income is below a certain level and who need to resolve tax problems with the IRS|d4d0c0763a1b4779a780670ee377a8ea
taxpayers|irs|LITCs can represent taxpayers in audits, appeals, and tax collection disputes before the IRS and in court|d4d0c0763a1b4779a780670ee377a8ea
information|taxpayer rights|LITCs provide information about taxpayer rights and responsibilities in different languages for individuals who speak English as a second language|d4d0c0763a1b4779a780670ee377a8ea
services|low income taxpayer clinics|Services are offered for free or a small fee by LITCs|d4d0c0763a1b4779a780670ee377a8ea
return preparation|litc|An LITC can prepare the return when preparation of a return is necessary to resolve a dispute with the IRS|d4d0c0763a1b4779a780670ee377a8ea
taxpayer's decision|representation|A taxpayer's decision to obtain representation from an LITC won't result in the IRS giving preferential treatment in handling the taxpayer's dispute|d4d0c0763a1b4779a780670ee377a8ea
low income taxpayer clinics|irs publication 4,134|For more information or to find an LITC near you, see Low Income Taxpayer Clinics (LITC) or IRS Publication 4,134, Low Income Taxpayer Clinic List|d4d0c0763a1b4779a780670ee377a8ea
identity theft central|identity theft|See Identity Theft Central for additional information on identity theft|d4d0c0763a1b4779a780670ee377a8ea
volunteer income tax assistance program|irs|The Volunteer Income Tax Assistance Program is sponsored by the IRS, providing special assistance for persons with disabilities.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
disability information|individuals|The Disability information refers to individuals who may require special assistance due to a disability.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
tty/tdd equipment|individuals with disabilities|TTY/TDD users, including individuals with disabilities, can call 800-829-4059 for tax questions or to order IRS forms and publications.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
relay service|deaf or hard of hearing taxpayers|Deaf or hard of hearing taxpayers using a relay service can call any of our toll-free numbers.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
irs.gov accessibility page|accessible tax products|The IRS.gov Accessibility page provides a current list of accessible tax products available for download.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
form 9,000, alternative media preferencepdf and information about the alternative media center|correspondence|Form 9,000 allows taxpayers to elect to receive correspondence in an alternative format of their choice.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
youtube videos in american sign language (asl)|taxpayers|The IRS offers YouTube videos in American Sign Language (ASL) for taxpayers who may require visual assistance.|7fff1c6e0d4c44b4813e9ae8ad2c9ecb
american sign language|asl|ASL is a term related to American Sign Language|22583ef0a0aa49c0aafe7698b9b07f8f
publication 907|tax highlights for persons with disabilities|Publication 907 provides information on Tax Highlights for Persons with Disabilities|22583ef0a0aa49c0aafe7698b9b07f8f
publication 3966|living and working with disabilities|Publication 3966 provides information on Living and Working with Disabilities|22583ef0a0aa49c0aafe7698b9b07f8f
youtube videos|american sign language|YouTube videos are available in American Sign Language (ASL)|22583ef0a0aa49c0aafe7698b9b07f8f
topic|no. 103|This topic corresponds to a specific number|9febde356bf44164a01289b5e17fcbd1
tax help|small businesses|This tax help is relevant for small business entities|9febde356bf44164a01289b5e17fcbd1
tax help|the self-employed|This tax help is also relevant for individuals who are self-employed|9febde356bf44164a01289b5e17fcbd1
taxpayer advocate service|irs|TAS is an independent organization within the IRS, ensuring fairness and rights for taxpayers.|f1655dc6649a43d8ad51431267bc245b
financial difficulty|tax problem|TAS can help if your tax problem is causing a financial difficulty.|f1655dc6649a43d8ad51431267bc245b
irs system/process/procedure|fair treatment|TAS strives to ensure that you're treated fairly and know, understand, and receive your rights.|f1655dc6649a43d8ad51431267bc245b
financial difficulties|family/business|Your problem is causing financial difficulties for you, your family, or your business.|f1655dc6649a43d8ad51431267bc245b
adverse action|threat of adverse action|You face (or your business is facing) an immediate threat of adverse action.|f1655dc6649a43d8ad51431267bc245b
injury/impact|long-term adverse impact|You (or your business) will suffer irreparable injury or long-term adverse impact.|f1655dc6649a43d8ad51431267bc245b
irs response|tas help|If you've tried repeatedly to contact the IRS but no one has responded, or the IRS hasn't responded by the date promised, TAS can help.|f1655dc6649a43d8ad51431267bc245b
taxpayer bill of rights|irs|The IRS adopted a Taxpayer Bill of Rights that lists rights that already existed in the tax code.|6bf7d277308f49729e03a76fd97583cb
congress|irs employees|Congress specified that IRS employees are responsible for being familiar with and acting in accord with taxpayer rights.|6bf7d277308f49729e03a76fd97583cb
taxpayer advocate service (tas)|state offices|TAS has at least one office in every state, the District of Columbia, and Puerto Rico.|6bf7d277308f49729e03a76fd97583cb
form 911pdf|local taxpayer advocate|You can download Form 911PDF or call your Local Taxpayer Advocate to seek help from TAS.|6bf7d277308f49729e03a76fd97583cb
systemic advocacy management system (sams)|large-scale problems|TAS also handles large-scale or systemic problems that affect many taxpayers. You can report these issues through SAMS.|6bf7d277308f49729e03a76fd97583cb
u.s. armed forces|tax code|provides special benefits for active members|1020b5a3ff45486d925787405f02ab41
members of the u.s. armed forces|combat zones|certain benefits available to individuals serving in|1020b5a3ff45486d925787405f02ab41
publication 3, armed forces' tax guide|u.s. armed forces|provides information on various tax benefits available to members|1020b5a3ff45486d925787405f02ab41
